[GA] gen=103 feasible=35/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=19774.7 children=49 twoPoint=27 mutCustomer=16 mutDrone=17 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=104 feasible=40/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=12574.6 children=49 twoPoint=22 mutCustomer=5 mutDrone=10 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=105 feasible=42/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=11575.3 children=49 twoPoint=26 mutCustomer=10 mutDrone=14 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=106 feasible=30/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=23971.4 children=49 twoPoint=25 mutCustomer=8 mutDrone=8 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=107 feasible=34/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=17374 children=49 twoPoint=24 mutCustomer=8 mutDrone=13 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=108 feasible=33/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=24971.8 children=49 twoPoint=21 mutCustomer=10 mutDrone=12 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=109 feasible=38/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=15174.1 children=49 twoPoint=27 mutCustomer=8 mutDrone=14 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=110 feasible=34/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=21377.5 children=49 twoPoint=22 mutCustomer=15 mutDrone=17 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=111 feasible=33/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=21172 children=49 twoPoint=25 mutCustomer=11 mutDrone=14 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=112 feasible=35/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=18177.9 children=49 twoPoint=22 mutCustomer=13 mutDrone=21 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=113 feasible=32/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=25576.6 children=49 twoPoint=24 mutCustomer=14 mutDrone=13 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=114 feasible=32/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=19372 children=49 twoPoint=26 mutCustomer=7 mutDrone=16 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=115 feasible=36/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=17771.8 children=49 twoPoint=23 mutCustomer=9 mutDrone=13 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=116 feasible=35/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=16574.3 children=49 twoPoint=22 mutCustomer=4 mutDrone=14 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
[GA] gen=117 feasible=41/50 bestFitness=169 bestCmax=169 bestPenalty=0 avgFitness=11773 children=49 twoPoint=18 mutCustomer=3 mutDrone=12 globalBestCmax=169 globalBestPenalty=0 globalBestFeasible=1
